potentiometer0,potentiometer1,potentiometer2,potentiometer3
0.00021739755310035136,-0.0020030433354949473,-0.0005224055506896641,-0.0007918375366211539
0.00021739755310035136,-0.0020030433354949473,-0.0005224055506896641,-0.0009536275363921654
7.524755325283294e-05,-0.0020030433354949473,-0.0005132049259185534,-0.0010075575363159839
7.524755325283294e-05,-0.0020030433354949473,-0.0004948036763763319,-0.0010614875362395804
4.172553329073736e-06,-0.0018644752102661144,-0.0004856030516051657,-0.0008457675365447503
4.172553329073736e-06,-0.001910664585342392,-0.0004948036763763319,-0.0009536275363921654
4.172553329073736e-06,-0.0020030433354949473,-0.0005316061754607748,-0.0010075575363159839
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0009536275363921654
0.00021739755310035136,-0.001910664585342392,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005040043011474427,-0.0008457675365447503
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0009536275363921654
4.172553329073736e-06,-0.001910664585342392,-0.0005132049259185534,-0.0010075575363159839
4.172553329073736e-06,-0.0020030433354949473,-0.0004856030516051657,-0.0009536275363921654
-0.0001379774465180006,-0.001910664585342392,-0.0005224055506896641,-0.0010075575363159839
4.172553329073736e-06,-0.0019568539604186697,-0.0005040043011474427,-0.0009536275363921654
7.524755325283294e-05,-0.0020030433354949473,-0.0005224055506896641,-0.0010075575363159839
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0009536275363921654
-6.690244659468547e-05,-0.002049232710571225,-0.0005132049259185534,-0.0008457675365447503
0.00021739755310035136,-0.0018182858351898368,-0.0005316061754607748,-0.0010075575363159839
0.00021739755310035136,-0.0019568539604186697,-0.0005040043011474427,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.000476402426834055,-0.0007918375366211539
4.172553329073736e-06,-0.002049232710571225,-0.0005040043011474427,-0.0010075575363159839
0.00014632255317659215,-0.0019568539604186697,-0.0005132049259185534,-0.0007379075366973353
0.00021739755310035136,-0.0019568539604186697,-0.0005316061754607748,-0.0010075575363159839
0.00021739755310035136,-0.0018644752102661144,-0.0005132049259185534,-0.0009536275363921654
4.172553329073736e-06,-0.0019568539604186697,-0.0004948036763763319,-0.0008996975364685689
7.524755325283294e-05,-0.002049232710571225,-0.0005316061754607748,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0008996975364685689
7.524755325283294e-05,-0.001910664585342392,-0.0005224055506896641,-0.0009536275363921654
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
7.524755325283294e-05,-0.001910664585342392,-0.0005316061754607748,-0.0008457675365447503
4.172553329073736e-06,-0.0019568539604186697,-0.0004856030516051657,-0.0008996975364685689
0.00021739755310035136,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
4.172553329073736e-06,-0.002049232710571225,-0.0005132049259185534,-0.0008457675365447503
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0010075575363159839
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0007918375366211539
7.524755325283294e-05,-0.001910664585342392,-0.0004948036763763319,-0.0009536275363921654
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0009536275363921654
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
-6.690244659468547e-05,-0.001910664585342392,-0.0005040043011474427,-0.0008457675365447503
0.00014632255317659215,-0.001910664585342392,-0.0005224055506896641,-0.0008996975364685689
0.00021739755310035136,-0.0020030433354949473,-0.000476402426834055,-0.0008996975364685689
4.172553329073736e-06,-0.0018644752102661144,-0.0005224055506896641,-0.0008457675365447503
4.172553329073736e-06,-0.001910664585342392,-0.0005224055506896641,-0.0009536275363921654
7.524755325283294e-05,-0.0019568539604186697,-0.0004856030516051657,-0.0008996975364685689
0.00021739755310035136,-0.001910664585342392,-0.0005408068002318855,-0.0009536275363921654
7.524755325283294e-05,-0.0018644752102661144,-0.0004948036763763319,-0.0010075575363159839
4.172553329073736e-06,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
4.172553329073736e-06,-0.001910664585342392,-0.0005040043011474427,-0.0007918375366211539
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0010075575363159839
4.172553329073736e-06,-0.0019568539604186697,-0.0005132049259185534,-0.0007918375366211539
0.00021739755310035136,-0.0018644752102661144,-0.0005316061754607748,-0.0010614875362395804
4.172553329073736e-06,-0.0019568539604186697,-0.0005132049259185534,-0.0008457675365447503
4.172553329073736e-06,-0.0020030433354949473,-0.0005408068002318855,-0.0009536275363921654
7.524755325283294e-05,-0.001910664585342392,-0.0005132049259185534,-0.0010075575363159839
-6.690244659468547e-05,-0.0020030433354949473,-0.0005408068002318855,-0.0010075575363159839
-0.0001379774465180006,-0.001910664585342392,-0.0005224055506896641,-0.0008996975364685689
7.524755325283294e-05,-0.001910664585342392,-0.0005132049259185534,-0.0008457675365447503
7.524755325283294e-05,-0.0020030433354949473,-0.0005224055506896641,-0.0009536275363921654
4.172553329073736e-06,-0.0018644752102661144,-0.0005040043011474427,-0.0009536275363921654
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0010075575363159839
4.172553329073736e-06,-0.0019568539604186697,-0.0005040043011474427,-0.0010075575363159839
7.524755325283294e-05,-0.0020030433354949473,-0.0005132049259185534,-0.0008996975364685689
-6.690244659468547e-05,-0.0019568539604186697,-0.000476402426834055,-0.0008996975364685689
7.524755325283294e-05,-0.0020030433354949473,-0.0005040043011474427,-0.0008996975364685689
4.172553329073736e-06,-0.001910664585342392,-0.0005132049259185534,-0.0007918375366211539
0.00014632255317659215,-0.002049232710571225,-0.0005316061754607748,-0.0008996975364685689
7.524755325283294e-05,-0.002049232710571225,-0.0005224055506896641,-0.0008996975364685689
0.00014632255317659215,-0.0019568539604186697,-0.0005224055506896641,-0.0009536275363921654
0.00028847255302411057,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
0.00021739755310035136,-0.0019568539604186697,-0.0005040043011474427,-0.0008996975364685689
4.172553329073736e-06,-0.002049232710571225,-0.0005224055506896641,-0.0008457675365447503
-6.690244659468547e-05,-0.0020030433354949473,-0.0005316061754607748,-0.0008457675365447503
7.524755325283294e-05,-0.0020030433354949473,-0.0005224055506896641,-0.0010614875362395804
0.00028847255302411057,-0.0018644752102661144,-0.0005408068002318855,-0.0010614875362395804
4.172553329073736e-06,-0.001910664585342392,-0.0005316061754607748,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0008457675365447503
7.524755325283294e-05,-0.002049232710571225,-0.0005500074250029963,-0.0011693475360869954
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
0.00014632255317659215,-0.0019568539604186697,-0.0005316061754607748,-0.0008996975364685689
-6.690244659468547e-05,-0.001910664585342392,-0.0005224055506896641,-0.0008996975364685689
0.00021739755310035136,-0.0020030433354949473,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0007918375366211539
7.524755325283294e-05,-0.0019568539604186697,-0.0005316061754607748,-0.0008996975364685689
0.00021739755310035136,-0.0018182858351898368,-0.0005132049259185534,-0.0007918375366211539
0.00014632255317659215,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.0018644752102661144,-0.0005224055506896641,-0.001115417536163399
0.00021739755310035136,-0.0020954220856475025,-0.0004948036763763319,-0.0009536275363921654
-6.690244659468547e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0009536275363921654
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
0.00021739755310035136,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005316061754607748,-0.0009536275363921654
4.172553329073736e-06,-0.0020030433354949473,-0.0005132049259185534,-0.0010614875362395804
0.00021739755310035136,-0.0019568539604186697,-0.0005224055506896641,-0.0010075575363159839
0.00021739755310035136,-0.001910664585342392,-0.0005224055506896641,-0.0009536275363921654
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
0.00021739755310035136,-0.0019568539604186697,-0.0005316061754607748,-0.0010075575363159839
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
0.00021739755310035136,-0.001910664585342392,-0.0005040043011474427,-0.0008457675365447503
7.524755325283294e-05,-0.002049232710571225,-0.0005224055506896641,-0.0010075575363159839
4.172553329073736e-06,-0.0018644752102661144,-0.0005040043011474427,-0.0008996975364685689
0.00021739755310035136,-0.002049232710571225,-0.0005224055506896641,-0.0007918375366211539
0.00021739755310035136,-0.0020030433354949473,-0.0005132049259185534,-0.0009536275363921654
7.524755325283294e-05,-0.001910664585342392,-0.0005316061754607748,-0.0009536275363921654
-6.690244659468547e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0008996975364685689
4.172553329073736e-06,-0.002049232710571225,-0.0005132049259185534,-0.0008457675365447503
7.524755325283294e-05,-0.001910664585342392,-0.0005316061754607748,-0.0009536275363921654
-6.690244659468547e-05,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
-6.690244659468547e-05,-0.0020030433354949473,-0.0005040043011474427,-0.0007918375366211539
7.524755325283294e-05,-0.001910664585342392,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
0.00021739755310035136,-0.001910664585342392,-0.0005040043011474427,-0.0008996975364685689
4.172553329073736e-06,-0.002049232710571225,-0.0005132049259185534,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005040043011474427,-0.0008457675365447503
4.172553329073736e-06,-0.0019568539604186697,-0.0005132049259185534,-0.0009536275363921654
0.00028847255302411057,-0.002049232710571225,-0.0005224055506896641,-0.0007918375366211539
7.524755325283294e-05,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005132049259185534,-0.0010075575363159839
0.00021739755310035136,-0.0020030433354949473,-0.0005132049259185534,-0.0008457675365447503
0.00021739755310035136,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
0.00014632255317659215,-0.0020030433354949473,-0.0005224055506896641,-0.0008996975364685689
7.524755325283294e-05,-0.0020030433354949473,-0.0004856030516051657,-0.0010075575363159839
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
0.00021739755310035136,-0.0019568539604186697,-0.0005224055506896641,-0.0010075575363159839
4.172553329073736e-06,-0.0019568539604186697,-0.0004948036763763319,-0.0008996975364685689
0.00021739755310035136,-0.0019568539604186697,-0.0005132049259185534,-0.0010075575363159839
7.524755325283294e-05,-0.0018644752102661144,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.0018644752102661144,-0.0005316061754607748,-0.0009536275363921654
4.172553329073736e-06,-0.001910664585342392,-0.0005040043011474427,-0.0008457675365447503
0.00021739755310035136,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
7.524755325283294e-05,-0.0020030433354949473,-0.0004948036763763319,-0.0007918375366211539
-6.690244659468547e-05,-0.002049232710571225,-0.0005040043011474427,-0.0008457675365447503
-6.690244659468547e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005316061754607748,-0.0010075575363159839
-6.690244659468547e-05,-0.002049232710571225,-0.0005040043011474427,-0.0010614875362395804
4.172553329073736e-06,-0.0019568539604186697,-0.0005040043011474427,-0.0009536275363921654
4.172553329073736e-06,-0.0019568539604186697,-0.0005132049259185534,-0.0008996975364685689
0.00021739755310035136,-0.0018644752102661144,-0.0004948036763763319,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0010075575363159839
0.00021739755310035136,-0.0019568539604186697,-0.0005224055506896641,-0.0009536275363921654
-6.690244659468547e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0010075575363159839
7.524755325283294e-05,-0.0020030433354949473,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.0020030433354949473,-0.0005224055506896641,-0.0008457675365447503
-6.690244659468547e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0008457675365447503
0.00021739755310035136,-0.0019568539604186697,-0.0005040043011474427,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
7.524755325283294e-05,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
-6.690244659468547e-05,-0.0020030433354949473,-0.0005132049259185534,-0.0009536275363921654
4.172553329073736e-06,-0.0020030433354949473,-0.0005040043011474427,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0008457675365447503
4.172553329073736e-06,-0.0020954220856475025,-0.0005040043011474427,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005132049259185534,-0.0010614875362395804
4.172553329073736e-06,-0.001910664585342392,-0.0005132049259185534,-0.0009536275363921654
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0010075575363159839
4.172553329073736e-06,-0.0020030433354949473,-0.0005040043011474427,-0.0009536275363921654
0.00014632255317659215,-0.0019568539604186697,-0.0005132049259185534,-0.0008996975364685689
0.00014632255317659215,-0.0018182858351898368,-0.0004948036763763319,-0.0008996975364685689
-6.690244659468547e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008996975364685689
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0007918375366211539
7.524755325283294e-05,-0.0020030433354949473,-0.0005040043011474427,-0.0008457675365447503
7.524755325283294e-05,-0.0019568539604186697,-0.0005040043011474427,-0.0008996975364685689
-6.690244659468547e-05,-0.001910664585342392,-0.0005132049259185534,-0.0008996975364685689
4.172553329073736e-06,-0.0020030433354949473,-0.0005132049259185534,-0.0007918375366211539
4.172553329073736e-06,-0.001910664585342392,-0.0005040043011474427,-0.0008996975364685689
7.524755325283294e-05,-0.001910664585342392,-0.0005224055506896641,-0.0008996975364685689
-6.690244659468547e-05,-0.0020030433354949473,-0.0005316061754607748,-0.0008996975364685689
-6.690244659468547e-05,-0.001910664585342392,-0.0005224055506896641,-0.0009536275363921654
4.172553329073736e-06,-0.0019568539604186697,-0.0005040043011474427,-0.0010075575363159839
4.172553329073736e-06,-0.0019568539604186697,-0.0005224055506896641,-0.0010075575363159839
0.00021739755310035136,-0.0020030433354949473,-0.0005132049259185534,-0.0008457675365447503
-6.690244659468547e-05,-0.0019568539604186697,-0.0005224055506896641,-0.0008457675365447503
0.00014632255317659215,-0.002049232710571225,-0.0005224055506896641,-0.0008996975364685689
4.172553329073736e-06,-0.0019568539604186697,-0.0005132049259185534,-0.0009536275363921654
